id,game_id,year,month,day,home_team,away_team,home_score,away_score,tier
181,0021700867,2018,2,22,CHA,BKN,111,96,0
182,0021700856,2018,2,14,BKN,IND,103,108,0
183,0021700843,2018,2,12,BKN,LAC,101,114,0
184,0021700826,2018,2,10,BKN,NOP,128,138,0
185,0021700805,2018,2,7,DET,BKN,115,106,0
186,0021700800,2018,2,6,BKN,HOU,113,123,0
187,0021700785,2018,2,4,BKN,MIL,94,109,0
188,0021700768,2018,2,2,BKN,LAL,99,102,0
189,0021700756,2018,1,31,BKN,PHI,116,108,0
190,0021700745,2018,1,30,NYK,BKN,111,95,0
191,0021700729,2018,1,27,MIN,BKN,111,97,0
192,0021700719,2018,1,26,MIL,BKN,116,91,0
193,0021700697,2018,1,23,OKC,BKN,109,108,0
194,0021700685,2018,1,21,DET,BKN,100,101,0
195,0021700668,2018,1,19,BKN,MIA,101,95,0
196,0021700655,2018,1,17,BKN,SAS,95,100,0
197,0021700642,2018,1,15,BKN,NYK,104,119,0
198,0021700630,2018,1,13,WAS,BKN,119,113,0
199,0021700606,2018,1,10,BKN,DET,80,114,0
200,0021700592,2018,1,8,BKN,TOR,113,114,0
201,0021700557,2018,1,3,BKN,MIN,98,97,0
202,0021700545,2018,1,1,BKN,ORL,98,95,0
203,0021700523,2017,12,29,MIA,BKN,87,111,0
204,0021700511,2017,12,27,NOP,BKN,128,113,0
205,0021700502,2017,12,26,SAS,BKN,109,97,0
206,0021700482,2017,12,23,IND,BKN,123,119,0
207,0021700473,2017,12,22,BKN,WAS,119,84,0
208,0021700457,2017,12,20,BKN,SAC,99,104,0
209,0021700439,2017,12,17,BKN,IND,97,109,0
210,0021700424,2017,12,15,TOR,BKN,120,87,0
211,0021700414,2017,12,14,BKN,NYK,104,111,0
212,0021700400,2017,12,12,BKN,WAS,103,98,0
213,0021700376,2017,12,9,BKN,MIA,89,101,0
214,0021700365,2017,12,7,BKN,OKC,100,95,0
215,0021700310,2017,11,29,DAL,BKN,104,109,0
216,0021700294,2017,11,27,HOU,BKN,117,103,0
217,0021700289,2017,11,26,MEM,BKN,88,98,0
218,0021700267,2017,11,24,BKN,POR,125,127,0
219,0021700254,2017,11,22,CLE,BKN,119,109,0
220,0021700236,2017,11,19,BKN,GSW,111,118,0
221,0021700219,2017,11,17,BKN,UTA,118,107,0
222,0021700187,2017,11,11,UTA,BKN,114,106,0
223,0021700176,2017,11,10,POR,BKN,97,101,0
224,0021700155,2017,11,7,DEN,BKN,112,104,0
225,0021700147,2017,11,6,PHX,BKN,92,98,0
226,0021700130,2017,11,3,LAL,BKN,124,112,0
227,0021700102,2017,10,31,BKN,PHX,114,122,0
228,0021700087,2017,10,29,BKN,DEN,111,124,0
229,0021700073,2017,10,27,NYK,BKN,107,86,0
230,0021700058,2017,10,25,BKN,CLE,112,107,0
231,0021700050,2017,10,24,ORL,BKN,125,121,0
232,0021700022,2017,10,20,BKN,ORL,126,121,0
233,0021700004,2017,10,18,IND,BKN,140,131,0
